code,parent_code,name
438.13,438.1,"Late effects of cerebrovascular disease, dysarthria"
275.49,275.4,Other disorders of calcium metabolism
365.4,365,"Glaucoma associated with congenital anomalies, dystrophies, and systemic syndromes"
365.9,365,Unspecified glaucoma
365.8,365,Other specified forms of glaucoma
365.6,365,Glaucoma associated with other ocular disorders
365.5,365,Glaucoma associated with disorders of the lens
365.2,365,Primary angle-closure glaucoma
365.0,365,Borderline glaucoma [glaucoma suspect]
365.7,365,Glaucoma stage
365.3,365,Corticosteroid-induced glaucoma
365.1,365,Open-angle glaucoma
854.01,854.0,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, with no loss of consciousness"
738.12,738.1,Zygomatic hypoplasia
520-579.99,001-999.99,DISEASES OF THE DIGESTIVE SYSTEM
646.14,646.1,"Edema or excessive weight gain in pregnancy, without mention of hypertension, postpartum condition or complication"
010-018.99,001-139.99,TUBERCULOSIS
386.41,386.4,Round window fistula
904.51,904.5,Injury to anterior tibial artery
365.43,365.4,Glaucoma associated with other anterior segment anomalies
369.64,369.6,One eye: near-total vision impairment; other eye: vision not specified
V15.86,V15.8,Personal history of contact with and (suspected) exposure to lead
E007.5,E007,Activities involving soccer
669.30,669.3,"Acute kidney failure following labor and delivery, unspecified as to episode of care or not applicable"
523.01,523.0,"Acute gingivitis, non-plaque induced"
718.35,718.3,"Recurrent dislocation of joint, pelvic region and thigh"
307.54,307.5,Psychogenic vomiting
800.12,800.1,"Closed fracture of vault of skull with cerebral laceration and contusion, with brief [less than one hour] loss of consciousness"
201.45,201.4,"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of inguinal region and lower limb"
853.14,853.1,"Other and unspecified intracranial hemorrhage following injury with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
364.03,364.0,"Secondary iridocyclitis, infectious"
104.0,104,Nonvenereal endemic syphilis
104.9,104,"Spirochetal infection, unspecified"
104.8,104,Other specified spirochetal infections
013.46,013.4,"Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
764.13,764.1,"""Light-for-dates"" with signs of fetal malnutrition, 750-999 grams"
372.33,372.3,Conjunctivitis in mucocutaneous disease
640.83,640.8,"Other specified hemorrhage in early pregnancy, antepartum condition or complication"
804.95,804.9,"Open fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level"
733.95,733.9,Stress fracture of other bone
754.50,754.5,Talipes varus
V91.91,V91.9,"Other specified multiple gestation, with two or more monochorionic fetuses"
080-088.99,001-139.99,RICKETTSIOSES AND OTHER ARTHROPOD-BORNE DISEASES
553.20,553.2,"Ventral, unspecified, hernia without mention of obstruction or gangrene"
942.01,942.0,Burn of unspecified degree of breast
282.42,282.4,Sickle-cell thalassemia with crisis
E930.3,E930,Erythromycin and other macrolides causing adverse effects in therapeutic use
643.21,643.2,"Late vomiting of pregnancy, delivered, with or without mention of antepartum condition"
E012.1,E012,Activities involving sewing
E883.1,E883,Accidental fall into well
669.03,669.0,"Maternal distress complicating labor and delivery, antepartum condition or complication"
796.71,796.7,Papanicolaou smear of anus with atypical squamous cells of undetermined significance (ASC-US)
E817.6,E817,Noncollision motor vehicle traffic accident while boarding or alighting injuring pedal cyclist
012.24,012.2,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
396.9,396,"Mitral and aortic valve diseases, unspecified"
396.0,396,Mitral valve stenosis and aortic valve stenosis
396.8,396,Multiple involvement of mitral and aortic valves
396.3,396,Mitral valve insufficiency and aortic valve insufficiency
396.2,396,Mitral valve insufficiency and aortic valve stenosis
396.1,396,Mitral valve stenosis and aortic valve insufficiency
E944,E930-E949.9,"Water, mineral, and uric acid metabolism drugs causing adverse effects in therapeutic use"
710-739.99,001-999.99,DISEASES OF THE MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE
E945.7,E945,Antiasthmatics causing adverse effects in therapeutic use
584.5,584,Acute kidney failure with lesion of tubular necrosis
584.7,584,Acute kidney failure with lesion of renal medullary [papillary] necrosis
584.8,584,Acute kidney failure with other specified pathological lesion in kidney
584.9,584,"Acute kidney failure, unspecified"
584.6,584,Acute kidney failure with lesion of renal cortical necrosis
941.16,941.1,Erythema [first degree] of scalp [any part]
716.02,716.0,"Kaschin-Beck disease, upper arm"
675.91,675.9,"Unspecified infection of the breast and nipple associated with childbirth, delivered, with or without mention of antepartum condition"
V81.4,V81,Screening for other and unspecified respiratory conditions
V81.6,V81,Screening for other and unspecified genitourinary conditions
V81.0,V81,Screening for ischemic heart disease
V81.3,V81,Screening for chronic bronchitis and emphysema
V81.5,V81,Screening for nephropathy
V81.1,V81,Screening for hypertension
V81.2,V81,Screening for other and unspecified cardiovascular conditions
362.72,362.7,Retinal dystrophy in other systemic disorders and syndromes
355.71,355.7,Causalgia of lower limb
V12.54,V12.5,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits"
E871.1,E871,Foreign object left in body during infusion or transfusion
747.49,747.4,Other anomalies of great veins
552.29,552.2,Other ventral hernia with obstruction
880.20,880.2,"Open wound of shoulder region, with tendon involvement"
369.61,369.6,One eye: total vision impairment; other eye: not specified
813.20,813.2,"Closed fracture of shaft of radius or ulna, unspecified"
008.3,008,Intestinal infection due to proteus (mirabilis) (morganii)
008.5,008,"Bacterial enteritis, unspecified"
008.2,008,Intestinal infection due to aerobacter aerogenes
008.4,008,Intestinal infection due to other specified bacteria
008.0,008,Intestinal infection due to escherichia coli [E. coli]
008.8,008,"Intestinal infection due to other organism, not elsewhere classified"
008.6,008,Enteritis due to specified virus
008.1,008,Intestinal infection due to arizona group of paracolon bacilli
E980.9,E980,"Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purposely inflicted"
312.01,312.0,"Undersocialized conduct disorder, aggressive type, mild"
825.20,825.2,Closed fracture of unspecified bone(s) of foot [except toes]
304.42,304.4,"Amphetamine and other psychostimulant dependence, episodic"
E946.1,E946,Antipruritics causing adverse effects in therapeutic use
443.29,443.2,Dissection of other artery
487.1,487,Influenza with other respiratory manifestations
487.0,487,Influenza with pneumonia
487.8,487,Influenza with other manifestations
379.13,379.1,Equatorial staphyloma
863.8,863,Injury to other and unspecified gastrointestinal sites without mention of open wound into cavity
863.0,863,"Injury to stomach, without mention of open wound into cavity"
863.3,863,Injury to small intestine with open wound into cavity
863.5,863,Injury to colon or rectum with open wound into cavity
863.2,863,Injury to small intestine without mention of open wound into cavity
863.4,863,Injury to colon or rectum without mention of open wound into cavity
863.1,863,"Injury to stomach, with open wound into cavity"
863.9,863,"Injury to other and unspecified gastrointestinal sites, with open wound into cavity"
E927.8,E927,Other overexertion and strenuous and repetitive movements or loads
839.52,839.5,"Open dislocation, sacrum"
017.21,017.2,"Tuberculosis of peripheral lymph nodes, bacteriological or histological examination not done"
711.86,711.8,"Arthropathy associated with other infectious and parasitic diseases, lower leg"
V46.11,V46.1,"Dependence on respirator, status"
664.30,664.3,"Fourth-degree perineal laceration, unspecified as to episode of care or not applicable"
098.13,098.1,Gonococcal epididymo-orchitis (acute)
943.24,943.2,"Blisters, epidermal loss [second degree] of axilla"
659.51,659.5,"Elderly primigravida, delivered, with or without mention of antepartum condition"
813.3,813,"Fracture of shaft of radius and ulna, open"
813.9,813,"Fracture of unspecified part of radius with ulna, open"
813.4,813,"Fracture of lower end of radius and ulna, closed"
813.1,813,"Fracture of upper end of radius and ulna, open"
813.5,813,"Fracture of lower end of radius and ulna, open"
813.2,813,"Fracture of shaft of radius and ulna, closed"
813.0,813,"Fracture of upper end of radius and ulna, closed"
813.8,813,"Fracture of unspecified part of radius with ulna, closed"
016.34,016.3,"Tuberculosis of other urinary organs, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
201.76,201.7,"Hodgkin's disease, lymphocytic depletion, intrapelvic lymph nodes"
E015.0,E015,Activities involving food preparation and clean up
999.69,999.6,Other ABO incompatibility reaction
377.63,377.6,Disorders of other visual pathways associated with inflammatory disorders
395.1,395,Rheumatic aortic insufficiency
395.2,395,Rheumatic aortic stenosis with insufficiency
395.0,395,Rheumatic aortic stenosis
395.9,395,Other and unspecified rheumatic aortic diseases
596.59,596.5,Other functional disorder of bladder
016.36,016.3,"Tuberculosis of other urinary organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
679.12,679.1,"Fetal complications from in utero procedure, delivered, with mention of postpartum complication"
712.93,712.9,"Unspecified crystal arthropathy, forearm"
620.0,620,Follicular cyst of ovary
620.5,620,"Torsion of ovary, ovarian pedicle, or fallopian tube"
620.6,620,Broad ligament laceration syndrome
620.9,620,"Unspecified noninflammatory disorder of ovary, fallopian tube, and broad ligament"
620.7,620,Hematoma of broad ligament
620.2,620,Other and unspecified ovarian cyst
620.1,620,Corpus luteum cyst or hematoma
620.4,620,Prolapse or hernia of ovary and fallopian tube
620.8,620,"Other noninflammatory disorders of ovary, fallopian tube, and broad ligament"
620.3,620,Acquired atrophy of ovary and fallopian tube
754.89,754.8,Other specified nonteratogenic anomalies
209.25,209.2,"Malignant carcinoid tumor of foregut, not otherwise specified"
525.73,525.7,Post-osseointegration mechanical failure of dental implant
533.70,533.7,"Chronic peptic ulcer of unspecified site without mention of hemorrhage or perforation, without mention of obstruction"
644.10,644.1,"Other threatened labor, unspecified as to episode of care or not applicable"
716.64,716.6,"Unspecified monoarthritis, hand"
887.4,887,"Traumatic amputation of arm and hand (complete) (partial), unilateral, level not specified, without mention of complication"
887.7,887,"Traumatic amputation of arm and hand (complete) (partial), bilateral [any level], complicated"
887.0,887,"Traumatic amputation of arm and hand (complete) (partial), unilateral, below elbow, without mention of complication"
887.3,887,"Traumatic amputation of arm and hand (complete) (partial), unilateral, at or above elbow, complicated"
887.5,887,"Traumatic amputation of arm and hand (complete) (partial), unilateral, level not specified, complicated"
887.2,887,"Traumatic amputation of arm and hand (complete) (partial), unilateral, at or above elbow, without mention of complication"
887.6,887,"Traumatic amputation of arm and hand (complete) (partial), bilateral [any level], without mention of complication"
887.1,887,"Traumatic amputation of arm and hand (complete) (partial), unilateral, below elbow, complicated"
E864.0,E864,Accidental poisoning by corrosive aromatics not elsewhere classified
794.16,794.1,Nonspecific abnormal vestibular function studies
806.13,806.1,Open fracture of C1-C4 level with central cord syndrome
V90.33,V90.3,Retained wood fragments
808.43,808.4,Multiple closed pelvic fractures with disruption of pelvic circle
E900-E909.9,E000-E999.9,ACCIDENTS DUE TO NATURAL AND ENVIRONMENTAL FACTORS
056.01,056.0,Encephalomyelitis due to rubella
478.25,478.2,Edema of pharynx or nasopharynx
V16.51,V16.5,Family history of malignant neoplasm of kidney
674.12,674.1,"Disruption of cesarean wound, delivered, with mention of postpartum complication"
V12.2,V12,"Personal history of endocrine, metabolic, and immunity disorders"
V12.0,V12,Personal history of infectious and parasitic diseases
V12.4,V12,Personal history of disorders of nervous system and sense organs
V12.6,V12,Personal history of diseases of respiratory system
V12.7,V12,Personal history of diseases of digestive system
V12.1,V12,Personal history of nutritional deficiency
V12.3,V12,Personal history of diseases of blood and blood-forming organs
V12.5,V12,Personal history of diseases of circulatory system
017.23,017.2,"Tuberculosis of peripheral lymph nodes, tubercle bacilli found (in sputum) by microscopy"
V04.82,V04.8,Need for prophylactic vaccination and inoculation against respiratory syncytial virus (RSV)
E005.9,E005,Other activity involving dancing and other rhythmic movements
205.22,205.2,"Subacute myeloid leukemia, in relapse"
444.09,444.0,Other arterial embolism and thrombosis of abdominal aorta
304.60,304.6,"Other specified drug dependence, unspecified"
E948.8,E948,Other and unspecified bacterial vaccines causing adverse effects in therapeutic use
800.00,800.0,"Closed fracture of vault of skull without mention of intracranial injury, unspecified state of consciousness"
970.89,970.8,Poisoning by other central nervous system stimulants
426.81,426.8,Lown-Ganong-Levine syndrome
851.19,851.1,"Cortex (cerebral) contusion with open intracranial wound, with concussion, unspecified"
V16.43,V16.4,Family history of malignant neoplasm of testis
941.11,941.1,Erythema [first degree] of ear [any part]
385.1,385,Adhesive middle ear disease
385.8,385,Other disorders of middle ear and mastoid
385.3,385,Cholesteatoma of middle ear and mastoid
385.0,385,Tympanosclerosis
385.9,385,Unspecified disorder of middle ear and mastoid
385.2,385,Other acquired abnormality of ear ossicles
640.00,640.0,"Threatened abortion, unspecified as to episode of care or not applicable"
V01.79,V01.7,Contact with or exposure to other viral diseases
839.17,839.1,"Open dislocation, seventh cervical vertebra"
863.42,863.4,"Injury to transverse colon, without mention of open wound into cavity"
385.19,385.1,Other middle ear adhesions and combinations
094.87,094.8,Syphilitic ruptured cerebral aneurysm
852.22,852.2,"Subdural hemorrhage following injury without mention of open intracranial wound, with brief [less than one hour] loss of consciousness"
482.81,482.8,Pneumonia due to anaerobes
377.01,377.0,Papilledema associated with increased intracranial pressure
646.22,646.2,"Unspecified renal disease in pregnancy, without mention of hypertension, delivered, with mention of postpartum complication"
E920.3,E920,"Accidents caused by knives, swords, and daggers"
729.92,729.9,Nontraumatic hematoma of soft tissue
E992.8,E992,Injury due to war operations by other marine weapons
892.0,892,"Open wound of foot except toe(s) alone, without mention of complication"
892.2,892,"Open wound of foot except toe(s) alone, with tendon involvement"
892.1,892,"Open wound of foot except toe(s) alone, complicated"
E965.0,E965,Assault by handgun
015.55,015.5,"Tuberculosis of limb bones, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
364.77,364.7,Recession of chamber angle of eye
861.22,861.2,Laceration of lung without mention of open wound into thorax
996.53,996.5,Mechanical complication due to ocular lens prosthesis
665.50,665.5,"Other injury to pelvic organs, unspecified as to episode of care or not applicable"
V10.84,V10.8,Personal history of malignant neoplasm of eye
851.03,851.0,"Cortex (cerebral) contusion without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness"
365.03,365.0,Steroid responders borderline glaucoma
845.03,845.0,"Sprain of tibiofibular (ligament), distal of ankle"
E831,E830-E838.9,Accident to watercraft causing other injury
808.51,808.5,Open fracture of ilium
386.10,386.1,"Peripheral vertigo, unspecified"
079.82,079.8,SARS-associated coronavirus
832.09,832.0,"Closed dislocation of elbow, other"
474.02,474.0,Chronic tonsillitis and adenoiditis
946,940-949.99,Burns of multiple specified sites
941,940-949.99,"Burn of face, head, and neck"
947,940-949.99,Burn of internal organs
942,940-949.99,Burn of trunk
949,940-949.99,"Burn, unspecified site"
943,940-949.99,"Burn of upper limb, except wrist and hand"
940,940-949.99,Burn confined to eye and adnexa
944,940-949.99,Burn of wrist(s) and hand(s)
945,940-949.99,Burn of lower limb(s)
948,940-949.99,Burns classified according to extent of body surface involved
573.4,573,Hepatic infarction
573.8,573,Other specified disorders of liver
573.9,573,Unspecified disorder of liver
573.0,573,Chronic passive congestion of liver
573.5,573,Hepatopulmonary syndrome
573.2,573,Hepatitis in other infectious diseases classified elsewhere
573.1,573,Hepatitis in viral diseases classified elsewhere
573.3,573,"Hepatitis, unspecified"
E837.7,E837,"Explosion, fire, or burning in watercraft, occupant of military watercraft, any type"
373.34,373.3,Discoid lupus erythematosus of eyelid
676.94,676.9,"Unspecified disorder of lactation, postpartum condition or complication"
E822.6,E822,Other motor vehicle nontraffic accident involving collision with moving object injuring pedal cyclist
642.92,642.9,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication"
864.04,864.0,"Injury to liver without mention of open wound into cavity, laceration, major"
464.11,464.1,Acute tracheitis with obstruction
041.43,041.4,"Shiga toxin-producing Escherichia coli [E. coli] (STEC), unspecified"
V13.24,V13.2,Personal history of vulvar dysplasia
969.73,969.7,Poisoning by methylphenidate
829.0,829,"Fracture of unspecified bone, closed"
829.1,829,"Fracture of unspecified bone, open"
E915,E910-E915.9,Foreign body accidentally entering other orifice
945.21,945.2,"Blisters, epidermal loss [second degree] of toe(s) (nail)"
999.62,999.6,ABO incompatibility with acute hemolytic transfusion reaction
745.19,745.1,Other transposition of great vessels
747.82,747.8,Spinal vessel anomaly
E844.1,E844,"Other specified air transport accidents injuring occupant of military aircraft, any"
743.64,743.6,Specified congenital anomalies of lacrimal gland
803.26,803.2,"Other closed skull fracture with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration"
801.43,801.4,"Closed fracture of base of skull with intracranial injury of other and unspecified nature, with moderate [1-24 hours] loss of consciousness"
785.50,785.5,"Shock, unspecified"
098.34,098.3,"Gonococcal seminal vesiculitis, chronic"
070.7,070,Unspecified viral hepatitis C
070.3,070,Viral hepatitis B without mention of hepatic coma
070.9,070,Unspecified viral hepatitis without mention of hepatic coma
070.4,070,Other specified viral hepatitis with hepatic coma
070.0,070,Viral hepatitis A with hepatic coma
070.2,070,Viral hepatitis B with hepatic coma
070.5,070,Other specified viral hepatitis without mention of hepatic coma
070.1,070,Viral hepatitis A without mention of hepatic coma
070.6,070,Unspecified viral hepatitis with hepatic coma
839.42,839.4,"Closed dislocation, sacrum"
098.83,098.8,Gonococcal pericarditis
147.9,147,"Malignant neoplasm of nasopharynx, unspecified site"
147.2,147,Malignant neoplasm of lateral wall of nasopharynx
147.1,147,Malignant neoplasm of posterior wall of nasopharynx
147.3,147,Malignant neoplasm of anterior wall of nasopharynx
147.8,147,Malignant neoplasm of other specified sites of nasopharynx
147.0,147,Malignant neoplasm of superior wall of nasopharynx
V85.38,V85.3,"Body Mass Index 38.0-38.9, adult"
230-234.99,140-239.99,CARCINOMA IN SITU
339.03,339.0,Episodic paroxysmal hemicrania
676.34,676.3,"Other and unspecified disorder of breast associated with childbirth, postpartum condition or complication"
854.16,854.1,"Intracranial injury of other and unspecified nature with open intracranial wound, with loss of consciousness of unspecified duration"
770.10,770.1,"Fetal and newborn aspiration, unspecified"
645.11,645.1,"Post term pregnancy, delivered, with or without mention of antepartum condition"
E816.2,E816,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring motorcyclist"
E880.0,E880,Accidental fall on or from escalator
669.80,669.8,"Other complications of labor and delivery, unspecified as to episode of care or not applicable"
E811.9,E811,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring unspecified person
372,360-379.99,Disorders of conjunctiva
374,360-379.99,Other disorders of eyelids
378,360-379.99,Strabismus and other disorders of binocular eye movements
375,360-379.99,Disorders of lacrimal system
377,360-379.99,Disorders of optic nerve and visual pathways
371,360-379.99,Corneal opacity and other disorders of cornea
370,360-379.99,Keratitis
379,360-379.99,Other disorders of eye
373,360-379.99,Inflammation of eyelids
376,360-379.99,Disorders of the orbit
711.42,711.4,"Arthropathy associated with other bacterial diseases, upper arm"
755.62,755.6,"Coxa vara, congenital"
928.11,928.1,Crushing injury of knee
707.15,707.1,Ulcer of other part of foot
E884.9,E884,Other accidental fall from one level to another
E001,E001-E030.9,Activities involving walking and running
866.00,866.0,"Injury to kidney without mention of open wound into cavity, unspecified injury"
V58.65,V58.6,Long-term (current) use of steroids
299.01,299.0,"Autistic disorder, residual state"
V68,V60-V69.99,Encounters for administrative purposes
V66,V60-V69.99,Convalescence and palliative care
V60,V60-V69.99,"Housing, household, and economic circumstances"
V63,V60-V69.99,Unavailability of other medical facilities for care
V61,V60-V69.99,Other family circumstances
V62,V60-V69.99,Other psychosocial circumstances
V67,V60-V69.99,Follow-up examination
V65,V60-V69.99,Other persons seeking consultation
V69,V60-V69.99,Problems related to lifestyle
V64,V60-V69.99,"Persons encountering health services for specific procedures, not carried out"
807.11,807.1,Open fracture of one rib
014.81,014.8,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, bacteriological or histological examination not done"
362.25,362.2,"Retinopathy of prematurity, stage 3"
999.71,999.7,Rh incompatibility with hemolytic transfusion reaction not specified as acute or delayed
642.54,642.5,"Severe pre-eclampsia, postpartum condition or complication"
363.42,363.4,Diffuse secondary atrophy of choroid
853.03,853.0,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness"
518.81,518.8,Acute respiratory failure
379.62,379.6,"Inflammation (infection) of postprocedural bleb, stage 2"
716.29,716.2,"Allergic arthritis, multiple sites"
084.7,084,Induced malaria
084.5,084,Mixed malaria
084.9,084,Other pernicious complications of malaria
084.2,084,Quartan malaria
084.1,084,Vivax malaria [benign tertian]
084.4,084,Other malaria
084.0,084,Falciparum malaria [malignant tertian]
084.8,084,Blackwater fever
084.6,084,"Malaria, unspecified"
084.3,084,Ovale malaria
675.14,675.1,"Abscess of breast associated with childbirth, postpartum condition or complication"
552,550-553.99,"Other hernia of abdominal cavity, with obstruction, but without mention of gangrene"
550,550-553.99,Inguinal hernia
557,555-558.99,Vascular insufficiency of intestine
553,550-553.99,Other hernia of abdominal cavity without mention of obstruction or gangrene
551,550-553.99,"Other hernia of abdominal cavity, with gangrene"
558,555-558.99,Other and unspecified noninfectious gastroenteritis and colitis
555,555-558.99,Regional enteritis
556,555-558.99,Ulcerative colitis
801.65,801.6,"Open fracture of base of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
733.93,733.9,Stress fracture of tibia or fibula
372.2,372,Blepharoconjunctivitis
372.6,372,Conjunctival scars
372.3,372,Other and unspecified conjunctivitis
372.5,372,Conjunctival degenerations and deposits
372.1,372,Chronic conjunctivitis
372.8,372,Other disorders of conjunctiva
372.0,372,Acute conjunctivitis
372.7,372,Conjunctival vascular disorders and cysts
372.4,372,Pterygium
372.9,372,Unspecified disorder of conjunctiva
362.34,362.3,Transient retinal arterial occlusion
897.0,897,"Traumatic amputation of leg(s) (complete) (partial), unilateral, below knee, without mention of complication"
897.2,897,"Traumatic amputation of leg(s) (complete) (partial), unilateral, at or above knee, without mention of complication"
897.1,897,"Traumatic amputation of leg(s) (complete) (partial), unilateral, below knee, complicated"
897.6,897,"Traumatic amputation of leg(s) (complete) (partial), bilateral [any level]), without mention of complication"
897.4,897,"Traumatic amputation of leg(s) (complete) (partial), unilateral, level not specified, without mention of complication"
897.7,897,"Traumatic amputation of leg(s) (complete) (partial), bilateral [any level], complicated"
897.5,897,"Traumatic amputation of leg(s) (complete) (partial), unilateral, level not specified, complicated"
897.3,897,"Traumatic amputation of leg(s) (complete) (partial), unilateral, at or above knee, complicated"
665.71,665.7,"Pelvic hematoma, delivered, with or without mention of antepartum condition"
746.85,746.8,Coronary artery anomaly
902.24,902.2,Injury to other specified branches of celiac axis
346.93,346.9,"Migraine, unspecified, with intractable migraine, so stated, with status migrainosus"
781,780-789.99,Symptoms involving nervous and musculoskeletal systems
789,780-789.99,Other symptoms involving abdomen and pelvis
780,780-789.99,General symptoms
782,780-789.99,Symptoms involving skin and other integumentary tissue
786,780-789.99,Symptoms involving respiratory system and other chest symptoms
785,780-789.99,Symptoms involving cardiovascular system
783,780-789.99,"Symptoms concerning nutrition, metabolism, and development"
784,780-789.99,Symptoms involving head and neck
788,780-789.99,Symptoms involving urinary system
787,780-789.99,Symptoms involving digestive system
868.19,868.1,"Injury to other and multiple intra-abdominal organs, with open wound into cavity"
704.41,704.4,Pilar cyst
374.53,374.5,Hypopigmentation of eyelid
749.10,749.1,"Cleft lip, unspecified"
730.23,730.2,"Unspecified osteomyelitis, forearm"
E827.2,E827,Animal-drawn vehicle accident injuring rider of animal
456.20,456.2,"Esophageal varices in diseases classified elsewhere, with bleeding"
079.98,079.9,Unspecified chlamydial infection
755.25,755.2,"Longitudinal deficiency, radioulnar, complete or partial (with or without distal deficiencies, incomplete)"
389.11,389.1,"Sensory hearing loss, bilateral"
637.11,637.1,"Unspecified abortion, complicated by delayed or excessive hemorrhage, incomplete"
997.71,997.7,Vascular complications of mesenteric artery
825.25,825.2,Closed fracture of metatarsal bone(s)
375.31,375.3,"Acute canaliculitis, lacrimal"
E009.3,E009,Activity involving circuit training
531.31,531.3,"Acute gastric ulcer without mention of hemorrhage or perforation, with obstruction"
464.01,464.0,Acute laryngitis with obstruction
863.94,863.9,"Injury to pancreas, multiple and unspecified sites, with open wound into cavity"
340-349.99,320-389.99,OTHER DISORDERS OF THE CENTRAL NERVOUS SYSTEM
656.00,656.0,"Fetal-maternal hemorrhage, unspecified as to episode of care or not applicable"
E935,E930-E949.9,"Analgesics, antipyretics, and antirheumatics causing adverse effects in therapeutic use"
098.33,098.3,"Gonococcal epididymo-orchitis, chronic"
202.54,202.5,"Letterer-siwe disease, lymph nodes of axilla and upper limb"
E850.0,E850,Accidental poisoning by heroin
296.12,296.1,"Manic affective disorder, recurrent episode, moderate"
369.00,369.0,"Profound impairment, both eyes, impairment level not further specified"
659.93,659.9,"Unspecified indication for care or intervention related to labor and delivery, antepartum condition or complication"
711.76,711.7,"Arthropathy associated with helminthiasis, lower leg"
716.32,716.3,"Climacteric arthritis, upper arm"
386.12,386.1,Vestibular neuronitis
E838.7,E838,"Other and unspecified water transport accident, occupant of military watercraft, any type"
E835,E830-E838.9,Other and unspecified fall in water transport
621.5,621,Intrauterine synechiae
621.0,621,Polyp of corpus uteri
621.6,621,Malposition of uterus
621.3,621,Endometrial hyperplasia
621.1,621,Chronic subinvolution of uterus
621.8,621,"Other specified disorders of uterus, not elsewhere classified"
621.7,621,Chronic inversion of uterus
621.4,621,Hematometra
621.2,621,Hypertrophy of uterus
621.9,621,Unspecified disorder of uterus
754.59,754.5,Other varus deformities of feet
379.32,379.3,Subluxation of lens
377.52,377.5,Disorders of optic chiasm associated with other neoplasms
339.83,339.8,Primary cough headache
309.23,309.2,Specific academic or work inhibition
378.32,378.3,Hypotropia
V43.69,V43.6,Other joint replacement
288.64,288.6,Plasmacytosis
V84.04,V84.0,Genetic susceptibility to malignant neoplasm of endometrium
066.4,066,West Nile fever
066.1,066,Tick-borne fever
066.0,066,Phlebotomus fever
066.3,066,Other mosquito-borne fever
066.9,066,"Arthropod-borne viral disease, unspecified"
066.8,066,Other specified arthropod-borne viral diseases
066.2,066,Venezuelan equine fever
364.55,364.5,Miotic cysts of pupillary margin
716.43,716.4,"Transient arthropathy, forearm"
E862.1,E862,Accidental poisoning by petroleum fuels and cleaners
E979.5,E979,Terrorism involving nuclear weapons
E950.8,E950,Suicide and self-inflicted poisoning by arsenic and its compounds
E906.0,E906,Dog bite
368.51,368.5,Protan defect
942.24,942.2,"Blisters, epidermal loss [second degree] of back [any part]"
V50.4,V50,Prophylactic organ removal
V50.8,V50,Other elective surgery for purposes other than remedying health states
V50.9,V50,Unspecified elective surgery for purposes other than remedying health states
V50.1,V50,Other plastic surgery for unacceptable cosmetic appearance
V50.0,V50,Elective hair transplant for purposes other than remedying health states
V50.2,V50,Routine or ritual circumcision
V50.3,V50,Ear piercing
E012.2,E012,Activities involving furniture building and finishing
637.02,637.0,"Unspecified abortion, complicated by genital tract and pelvic infection, complete"
744.05,744.0,Anomalies of inner ear
296.45,296.4,"Bipolar I disorder, most recent episode (or current) manic, in partial or unspecified remission"
365.20,365.2,"Primary angle-closure glaucoma, unspecified"
295-299.99,290-299.99,OTHER PSYCHOSES
998.83,998.8,Non-healing surgical wound
E993.4,E993,Injury due to war operations by vehicle-borne improvised explosive device [IED]
719.84,719.8,"Other specified disorders of joint, hand"
V41.0,V41,Problems with sight
V41.1,V41,Other eye problems
V41.5,V41,Problems with smell and taste
V41.3,V41,Other ear problems
V41.9,V41,Unspecified problem with special functions
V41.8,V41,Other problems with special functions
V41.7,V41,Problems with sexual function
V41.6,V41,Problems with swallowing and mastication
V41.4,V41,Problems with voice production
V41.2,V41,Problems with hearing
453.81,453.8,Acute venous embolism and thrombosis of superficial veins of upper extremity
374.51,374.5,Xanthelasma of eyelid
362.05,362.0,Moderate nonproliferative diabetic retinopathy
438.19,438.1,"Late effects of cerebrovascular disease, other speech and language deficits"
V49.86,V49.8,Do not resuscitate status
